Alert_ID,Type,Generated_On,Severity,Handled_By
ALT1000,Penalty Alert,2025-08-24,Low,Karen Jones
ALT1001,Penalty Alert,2025-08-19,Low,Scott Walters II
ALT1002,Penalty Alert,2025-08-19,High,Michelle Weaver
ALT1003,Penalty Alert,2025-08-18,Low,Ashley Brown
ALT1004,Penalty Alert,2025-08-18,High,Devon Ward
ALT1005,Penalty Alert,2025-08-19,High,Trevor Reilly
ALT1006,Penalty Alert,2025-08-20,High,Katherine Reeves
ALT1007,Penalty Alert,2025-08-16,Low,Jessica Jones
ALT1008,Penalty Alert,2025-08-24,High,Jessica Summers
ALT1009,Penalty Alert,2025-08-21,High,Benjamin Powell
ALT1010,Penalty Alert,2025-08-28,High,Stacey Barnes
ALT1011,Penalty Alert,2025-08-17,Low,Jesse Franklin
ALT1012,Penalty Alert,2025-08-28,High,Patricia Allen
ALT1013,Penalty Alert,2025-08-26,High,Steve Campbell
ALT1014,Penalty Alert,2025-08-28,Low,Connor Whitaker
ALT1015,Penalty Alert,2025-08-20,High,Susan Summers
ALT1016,Penalty Alert,2025-08-23,High,Ivan Parker
ALT1017,Penalty Alert,2025-08-21,Low,James Gutierrez
ALT1018,Penalty Alert,2025-08-16,Low,Anthony Mitchell
